DATE,MarketTempIdx,DaysToClose,DaysOnZillow,ListingPriceCutAmt,ListingPriceCutPct,NewConstructMeanSalePrice,NewConstructSalesCount,SalesCount,SalePrice,MORTGAGE15US,MORTGAGE30US,RATE_DIFFERENCE
2018-01,74.0,34.0,28.0,16733.84953271028,0.133225239832455,537706.7302052786,682.0,3169.0,397708.1493723528,3.482,4.033,0.55
2018-02,72.0,31.0,22.0,16423.930619796483,0.1302096489012376,545468.5372907154,657.0,3395.0,400872.92604208126,3.785,4.33,0.545
2018-03,71.0,30.0,19.0,16012.32693538068,0.1538299219244566,549485.5070564516,992.0,4766.0,403904.0175085778,3.91,4.444,0.534
2018-04,70.0,31.0,16.0,16674.160323501426,0.178076923076923,555329.230500582,859.0,5045.0,406571.26510813966,3.925,4.468,0.543
2018-05,68.0,32.0,17.0,15617.310130944175,0.2208311597982959,543572.3263506064,907.0,5812.0,409135.3489401154,4.066,4.586,0.52
2018-06,63.0,32.0,18.0,14837.536552100382,0.2518530325974336,559619.7380675203,860.0,5957.0,410917.5062502183,4.04,4.57,0.53
2018-07,59.0,32.0,23.0,14139.022930243786,0.2846036707541877,585420.3612804879,656.0,5559.0,412758.0575004285,4.008,4.527,0.52
2018-08,56.0,32.0,27.0,13307.127668751347,0.3091582014331837,569175.2708333334,720.0,5598.0,414089.5765688492,4.018,4.55,0.532
2018-09,52.0,32.0,31.0,13061.739750849378,0.3025375127661246,553144.7383333333,600.0,4323.0,415464.7477045523,4.08,4.628,0.547
2018-10,49.0,32.0,34.0,12789.718109005666,0.3486516674644965,587257.0212389381,565.0,4545.0,416473.41541840485,4.248,4.83,0.583
2018-11,49.0,32.0,40.0,11572.287750151609,0.264676706646226,557162.4333958725,533.0,4004.0,417410.7135908797,4.282,4.866,0.584
2018-12,55.0,32.0,47.0,10710.461945731304,0.1666286496350364,563391.6062407133,673.0,3547.0,418568.5892888597,4.09,4.638,0.547
2019-01,62.0,34.0,44.0,12919.182175622542,0.2202991452991453,568875.4786885246,610.0,2961.0,420152.2636001592,3.906,4.464,0.558
2019-02,67.0,31.0,35.0,12684.059210526317,0.1906444906444906,565272.6702290076,655.0,3451.0,422482.4343964653,3.8,4.37,0.57
2019-03,68.0,31.0,30.0,13614.539702760085,0.2025981205085682,558730.0341176471,850.0,4416.0,424978.30654544086,3.717,4.265,0.547
2019-04,66.0,32.0,23.0,13861.407058107698,0.2394331585845347,577310.0502793296,716.0,5062.0,427046.29189239297,3.605,4.143,0.537
2019-05,61.0,32.0,24.0,13322.914679501204,0.274097021755967,611451.9656716418,670.0,5893.0,427882.7024718247,3.534,4.072,0.538
2019-06,57.0,32.0,27.0,12901.48243921266,0.3010934125269978,588831.2421991085,673.0,5657.0,428275.0081814006,3.237,3.803,0.565
2019-07,55.0,33.0,32.0,12574.617055947854,0.3308526916121853,600714.4187380497,523.0,5794.0,428427.38175141,3.203,3.765,0.562
2019-08,56.0,32.0,34.0,12369.582097649189,0.3273448924169626,608463.7405940595,505.0,5544.0,429074.88581529446,3.082,3.616,0.534
2019-09,55.0,33.0,36.0,12348.49622213827,0.3323990225671985,590802.9938271604,486.0,4833.0,429810.8138599486,3.115,3.605,0.49
2019-10,55.0,33.0,40.0,11117.12610264635,0.3244478293983244,587124.7160493827,486.0,4896.0,431140.05239320965,3.142,3.688,0.546
2019-11,56.0,32.0,42.0,10778.404072883171,0.245216422069478,596788.4821428572,448.0,3985.0,433012.67597956985,3.158,3.695,0.538
2019-12,63.0,33.0,49.0,11561.170765027322,0.1738509168849726,605169.6125954199,524.0,4219.0,435196.25421950174,3.178,3.72,0.543
2020-01,74.0,35.0,48.0,13037.94185377087,0.19985508996498,578392.8990228013,307.0,3225.0,437574.5688097787,3.072,3.624,0.552
2020-02,81.0,32.0,34.0,16434.004062681368,0.1768633163389172,563615.247813411,343.0,3564.0,440358.4001659117,2.97,3.465,0.495
2020-03,80.0,32.0,19.0,15475.272465437787,0.1597418313836224,583014.0391198044,409.0,4469.0,443722.2402838397,2.885,3.45,0.565
2020-04,77.0,33.0,24.0,13640.568406205924,0.1458243184768498,581544.0442477876,339.0,3665.0,447013.0648901113,2.804,3.306,0.502
2020-05,76.0,34.0,26.0,13749.146144278608,0.2301380991064175,584837.4,365.0,3205.0,448418.6334837382,2.692,3.232,0.54
2020-06,75.0,33.0,25.0,14495.357290742384,0.2440350592436292,569818.1577060932,558.0,5784.0,448415.00321334734,2.603,3.163,0.56
2020-07,75.0,33.0,25.0,15520.637866500312,0.2338267087976052,603126.4793713163,509.0,6763.0,448274.58883902914,2.52,3.016,0.496
2020-08,77.0,33.0,25.0,15096.711227938416,0.2151761517615176,625281.9278846154,416.0,6110.0,449997.19993213454,2.475,2.935,0.46
2020-09,77.0,34.0,23.0,17473.421894736843,0.2190838126540673,607083.6144578314,415.0,5954.0,454111.92466127663,2.385,2.89,0.505
2020-10,77.0,33.0,22.0,17152.43259259259,0.200107469102633,656943.2953488372,430.0,5813.0,459810.544648909,2.346,2.834,0.488
2020-11,81.0,33.0,23.0,16228.841444270016,0.1700632466619817,658829.0839895013,381.0,4754.0,466315.1240931558,2.305,2.765,0.46
2020-12,92.0,33.0,28.0,16380.885294117646,0.1233561770698277,669674.6757990868,438.0,4735.0,472541.89450946805,2.218,2.684,0.466
2021-01,103.0,33.0,25.0,20964.794721407623,0.1044870778500079,607491.3598615917,289.0,3151.0,478397.7943767044,2.2,2.735,0.535
2021-02,107.0,27.0,21.0,25250.687631027253,0.0806921363714236,643811.7137931035,290.0,3742.0,485167.8741138081,2.237,2.81,0.573
2021-03,104.0,29.0,13.0,28158.804744525547,0.0811802476685522,623643.5073891626,406.0,4990.0,493825.3033617257,2.393,3.083,0.69
2021-04,98.0,30.0,11.0,33924.56474820144,0.0683692471401968,677939.1927710844,332.0,5520.0,504078.3722939291,2.364,3.06,0.696
2021-05,93.0,29.0,9.0,28944.235378031382,0.0836422041018038,700306.9462365592,279.0,5621.0,514998.221612168,2.28,2.962,0.683
2021-06,87.0,29.0,9.0,26949.78964143426,0.1301308073973838,703688.2550335571,298.0,6551.0,525375.8947280279,2.27,2.975,0.705
2021-07,83.0,29.0,12.0,22998.93378443693,0.18272,680457.9619771863,263.0,6100.0,533421.5337596638,2.18,2.868,0.688
2021-08,81.0,29.0,14.0,22890.248046875,0.1927825261158594,741880.3359375,256.0,6029.0,538439.6913916061,2.145,2.842,0.698
2021-09,80.0,30.0,16.0,22496.456243854474,0.2021112821640642,660583.317164179,268.0,5575.0,540983.390731478,2.184,2.9,0.716
2021-10,81.0,29.0,16.0,21564.952176249328,0.1975949068615892,725094.6209386282,277.0,5453.0,543770.5863354817,2.308,3.067,0.76
2021-11,87.0,30.0,17.0,21666.453608247422,0.1488246505717916,731019.1460674157,356.0,5222.0,548052.4614117137,2.357,3.067,0.71
2021-12,104.0,30.0,21.0,19973.04651162791,0.116504854368932,676460.8936170213,612.0,4524.0,553677.9030964359,2.348,3.098,0.75
2022-01,118.0,32.0,16.0,27018.14238410596,0.068950177935943,657597.6027027027,370.0,2971.0,562021.4049109253,2.66,3.445,0.785
2022-02,118.0,27.0,11.0,39510.67479674797,0.051913133402275,681830.3598971722,389.0,3362.0,573486.6263887036,2.998,3.763,0.765
2022-03,103.0,26.0,9.0,31721.35489510489,0.0838014981273408,677193.7631027254,477.0,4646.0,587748.7748060079,3.39,4.172,0.782
2022-04,92.0,26.0,8.0,29744.305305305305,0.1116789230960987,741920.0481283423,374.0,5095.0,601473.3408801776,4.215,4.982,0.767
2022-05,81.0,26.0,9.0,29079.99583333333,0.1847211442510256,773888.7554945055,364.0,5481.0,612038.9781403174,4.435,5.23,0.795
2022-06,70.0,27.0,13.0,26503.86006567315,0.3114977160073865,788331.6020942408,382.0,5275.0,617853.1396303187,4.652,5.522,0.87
2022-07,60.0,29.0,19.0,23494.56189018557,0.3688964407082811,722303.6373626373,273.0,4150.0,617453.8588214024,4.612,5.412,0.8
2022-08,54.0,29.0,27.0,20922.194718171068,0.379195536758751,782335.79296875,256.0,4087.0,612002.9949924708,4.562,5.223,0.66
2022-09,51.0,29.0,31.0,20232.222945795824,0.3913564319941024,791085.7434402333,343.0,3783.0,604136.7324712527,5.35,6.112,0.762
2022-10,48.0,29.0,35.0,21029.97177091796,0.3910162720452109,805518.3389830509,295.0,3069.0,597860.3659058259,6.145,6.9,0.755
2022-11,48.0,29.0,43.0,20011.584041262136,0.3371264367816092,786846.9907120743,323.0,2625.0,593168.3015895444,6.138,6.805,0.667
2022-12,55.0,29.0,52.0,17916.22456140351,0.2354035489410418,766771.0947630922,401.0,2340.0,589256.9728449647,5.668,6.364,0.696
2023-01,67.0,32.0,52.0,19813.685393258427,0.2380458919319023,768947.1535087719,228.0,1893.0,584997.0733439821,5.425,6.272,0.848
2023-02,75.0,28.0,38.0,22130.18217054264,0.1844586374695863,774039.6910828026,314.0,2432.0,581317.7847531907,5.415,6.258,0.843
2023-03,78.0,28.0,26.0,24953.949662369552,0.1947663064705116,726758.9128440367,436.0,3460.0,578335.9247481627,5.796,6.544,0.748
2023-04,76.0,28.0,20.0,24177.811627906976,0.1924593395761459,775433.1156812339,389.0,3347.0,576818.9927417166,5.662,6.342,0.68
2023-05,73.0,28.0,19.0,27353.832182916307,0.2352478363493312,757507.7336814621,383.0,3890.0,576980.8723017426,5.808,6.425,0.617
2023-06,67.0,28.0,20.0,22761.74936868687,0.2736500203004466,764877.5484693878,392.0,4061.0,578834.4715807951,6.088,6.714,0.626
2023-07,64.0,29.0,24.0,23671.4338817794,0.2909425475362912,758554.5916666667,360.0,3594.0,581417.788506934,6.178,6.84,0.662
2023-08,60.0,28.0,27.0,23112.21716479298,0.3084542958022754,753494.2288557214,402.0,3693.0,584116.3127640687,6.43,7.072,0.642
2023-09,56.0,28.0,31.0,20735.312659520165,0.325353750726885,755045.6555891238,331.0,3088.0,586454.1971013339,6.572,7.2,0.628
2023-10,52.0,29.0,35.0,20343.987679155143,0.3307624719320511,695737.0733944954,327.0,2901.0,588234.9599113422,6.905,7.62,0.715
2023-11,53.0,28.0,42.0,17064.998846153845,0.2781257248898167,720854.768,375.0,2492.0,588922.0609758958,6.766,7.442,0.676
2023-12,61.0,28.0,49.0,15786.13074204947,0.1640439429928741,704691.0122549019,408.0,2355.0,589026.9639860691,6.138,6.815,0.678
2024-01,70.0,31.0,47.0,16557.86684073107,0.2112295451133463,829871.1128404669,257.0,1976.0,588555.5477322353,5.87,6.643,0.773
2024-02,74.0,28.0,35.0,17228.12417516497,0.215376075492645,749677.6467391305,368.0,2767.0,588450.4385441622,6.102,6.776,0.674
2024-03,72.0,28.0,26.0,18829.755065285903,0.2404643449419568,745504.104783599,439.0,3327.0,588917.6807272105,6.175,6.82,0.645
2024-04,68.0,28.0,21.0,19466.3330206379,0.2875268597155428,841958.0895140665,391.0,3660.0,590109.794947443,6.263,6.992,0.73
2024-05,62.0,28.0,23.0,18533.91067875304,0.3287473460721868,813332.5962566845,374.0,4050.0,590809.1759959782,6.346,7.06,0.714
2024-06,56.0,29.0,27.0,19201.70871337085,0.3472027427146641,751711.6781002638,379.0,3695.0,590448.4915506021,6.188,6.918,0.73
