YRS,CL,PC,CD,CL.1,PC.1,CD.1,CL.2,PC.2,CD.2,CL.3,PC.3,CD.3,CL.4,PC.4,CD.4,CL.5,PC.5,CD.5,CL.6,PC.6,CD.6,CL.7,PC.7,CD.7,CL.8,PC.8,CD.8,CL.9,PC.9,CD.9,CL.10,PC.10,CD.10,CL.11,PC.11,CD.11,CL.12,PC.12,CD.12,ID,CITY,STATE
47,7,7,17,7,6,15,6,8,16,7,8,15,7,9,14,7,11,12,9,11,10,10,11,10,11,8,10,12,7,11,9,7,15,7,7,17,101,101,164,13994,ST. LOUIS, MO
50,8,7,16,7,6,15,8,8,16,8,8,14,7,10,14,8,10,11,12,10,9,12,10,9,12,7,11,13,7,11,10,6,14,9,6,16,115,96,155,13995,SPRINGFIELD, MO
56,6,8,18,4,8,16,4,9,18,4,9,17,6,10,15,7,12,11,13,12,6,14,11,7,10,9,10,9,9,13,6,8,17,6,8,17,89,112,164,24033,BILLINGS, MT
39,5,7,18,5,7,16,5,9,17,5,8,16,6,11,15,7,12,11,12,12,7,12,11,8,9,9,11,8,9,15,6,7,17,5,8,18,86,111,168,94008,GLASGOW, MT
57,5,6,19,4,6,18,4,9,18,4,8,18,5,10,17,5,11,14,13,12,6,12,11,8,10,9,11,7,9,15,5,7,18,5,8,18,79,106,180,24143,GREAT FALLS, MT
54,5,6,20,4,7,17,4,8,19,4,9,18,5,10,16,6,11,13,14,11,6,13,11,7,11,9,11,8,9,14,5,7,18,4,7,20,82,104,179,24144,HELENA, MT
45,2,4,25,2,5,21,3,6,21,4,6,20,5,9,17,6,10,14,14,9,7,12,9,9,10,8,12,6,7,18,2,5,23,2,3,26,70,81,214,24146,KALISPELL, MT
51,2,4,24,3,5,21,3,6,22,4,7,20,5,9,17,6,9,14,15,10,6,14,10,8,10,8,11,7,7,17,2,5,23,2,4,25,75,83,208,24153,MISSOULA, MT
54,9,8,14,7,7,13,8,8,15,8,9,13,8,9,14,10,10,9,13,11,7,13,10,8,14,7,9,13,8,10,9,7,13,10,7,14,123,102,140,14935,GRAND ISLAND, NE
28,10,7,15,8,7,13,8,8,15,8,8,14,8,10,13,10,10,10,12,10,9,12,10,9,13,8,10,12,8,12,9,7,15,8,7,15,117,99,149,14939,LINCOLN, NE
50,9,8,15,8,7,14,7,8,16,8,8,14,8,10,14,10,10,10,13,11,7,13,10,8,13,8,10,12,8,11,8,7,14,9,8,15,117,103,146,14941,NORFOLK, NE
43,9,9,14,7,7,14,7,8,16,7,9,14,7,10,14,10,11,9,12,12,7,12,11,8,13,8,9,12,8,10,9,8,13,10,8,13,115,109,141,24023,NORTH PLATTE, NE
49,9,8,14,7,7,14,7,8,16,7,8,14,7,10,14,8,11,11,11,12,8,12,10,9,12,8,10,13,8,10,9,7,14,8,8,15,111,105,149,14942,OMAHA EPPLEY AP, NE
18,9,8,14,8,6,15,8,8,16,8,8,14,7,10,14,9,11,10,11,10,10,10,11,9,13,8,9,11,8,12,8,7,15,8,7,15,110,102,153,94918,OMAHA (NORTH), NE
52,8,8,14,7,8,13,6,10,15,7,9,15,6,11,14,10,11,9,13,12,6,13,11,7,14,8,8,13,8,10,8,8,14,9,9,14,115,112,138,24028,SCOTTSBLUFF, NE
40,9,8,14,7,7,13,7,8,15,8,8,14,8,10,13,11,10,9,14,12,6,14,11,6,14,7,9,12,8,10,9,8,13,10,7,14,123,105,136,24032,VALENTINE, NE
56,7,8,17,6,7,15,6,8,17,6,9,15,8,10,13,13,10,7,17,10,4,18,9,4,18,7,5,14,8,9,8,7,15,8,7,16,130,99,136,24121,ELKO, NV
56,9,8,15,7,7,14,7,8,15,7,9,13,7,11,12,13,10,6,15,11,5,15,12,5,17,8,5,14,8,9,10,8,12,9,8,14,131,109,125,23154,ELY, NV
47,14,6,11,12,7,9,14,8,9,16,8,7,18,8,5,22,5,3,20,7,3,22,7,3,22,5,2,20,6,4,16,7,7,15,7,10,210,82,73,23169,LAS VEGAS, NV
53,8,7,16,7,7,14,8,9,14,8,10,12,12,10,10,16,8,6,22,6,3,22,6,3,21,6,4,16,8,8,9,8,13,8,8,15,158,93,114,23185,RENO, NV
45,7,7,18,6,6,16,7,7,17,6,9,14,9,10,12,14,9,8,20,7,4,19,8,4,18,6,5,14,7,9,8,7,15,8,6,16,138,89,138,24128,WINNEMUCCA, NV
54,9,7,15,8,8,13,8,8,15,7,8,15,6,10,15,6,12,12,7,12,12,8,11,12,9,9,12,9,9,13,6,8,16,8,8,15,90,109,166,14745,CONCORD, NH
73,4,6,21,4,5,18,4,6,21,4,6,20,3,7,20,2,7,21,1,8,22,3,8,20,4,7,19,6,6,19,3,5,21,4,5,22,44,77,244,14755,MT. WASHINGTON, NH
37,8,8,15,8,7,14,8,8,15,7,9,14,6,11,14,7,12,12,7,12,13,8,11,12,10,8,12,11,9,12,8,9,13,8,8,15,94,111,160,93730,ATLANTIC CITY AP, NJ
53,8,8,16,7,8,13,8,8,15,7,9,14,6,11,14,7,11,12,7,12,12,8,12,12,10,9,12,11,8,12,8,8,14,8,8,15,93,112,160,14734,NEWARK, NJ
56,13,8,10,11,8,10,11,10,10,13,10,8,14,10,7,17,9,4,12,14,5,13,13,5,17,8,6,17,8,6,15,8,7,14,7,10,167,111,87,23050,ALBUQUERQUE, NM
28,13,7,12,11,7,10,11,9,11,12,9,10,11,9,10,13,10,6,12,12,7,15,10,6,17,6,7,18,7,7,15,6,9,14,7,10,162,99,104,23051,CLAYTON, NM
9,11,9,11,12,8,8,14,9,8,14,9,7,13,12,6,17,10,3,11,15,5,13,12,6,13,8,9,18,6,7,16,7,7,15,9,7,168,113,84,23009,ROSWELL, NM
57,5,8,18,6,7,15,6,8,17,5,8,16,5,9,16,5,11,13,6,13,12,7,12,13,8,10,12,8,9,14,4,8,18,5,7,19,69,111,185,14735,ALBANY, NY
44,3,7,22,3,6,19,4,7,20,5,7,18,5,9,17,5,11,14,6,13,13,5,12,14,6,10,14,6,8,17,3,6,21,2,6,23,52,102,212,04725,BINGHAMTON, NY
52,1,6,24,2,6,20,4,8,19,5,8,17,6,10,16,6,12,12,7,13,11,7,12,12,6,10,14,6,8,16,2,5,23,1,6,24,54,103,208,14733,BUFFALO, NY
42,8,9,14,8,9,11,9,10,12,8,11,12,8,12,11,8,12,10,8,13,10,9,12,10,11,10,9,12,10,9,9,10,12,9,9,13,107,127,132,94728,NEW YORK C.PARK, NY
37,8,8,15,8,8,13,8,9,14,8,9,13,7,11,13,7,11,12,7,12,11,8,13,10,10,9,11,11,9,11,8,8,14,8,8,15,98,116,152,94789,NEW YORK (JFK AP), NY
47,8,8,15,8,7,13,8,9,14,7,9,13,7,11,13,7,11,11,7,13,11,8,12,11,10,9,11,11,9,11,7,8,14,8,9,15,96,117,153,14732,NEW YORK (LAGUARDIA AP), N
55,2,7,22,2,7,19,5,8,18,6,8,16,6,10,15,7,11,12,8,12,11,8,12,12,7,10,13,6,8,16,2,6,22,2,6,23,61,104,200,14768,ROCHESTER, NY
44,3,7,22,3,6,19,5,7,19,6,7,17,6,10,15,7,11,12,8,12,11,7,11,13,7,10,13,6,8,17,2,6,22,2,5,24,63,98,205,14771,SYRACUSE, NY
31,9,7,15,9,6,13,9,8,14,10,8,12,7,10,13,6,12,12,5,14,12,5,13,13,7,11,13,12,8,11,11,7,12,10,7,14,99,113,153,03812,ASHEVILLE, NC
38,9,7,16,9,5,14,10,7,14,10,9,11,9,10,13,7,10,12,7,10,14,8,10,13,10,9,11,11,8,12,10,8,12,10,7,14,109,101,156,93729,CAPE HATTERAS, NC
49,9,6,16,8,6,14,9,8,14,10,9,12,8,10,13,7,11,12,7,12,12,7,13,11,9,9,11,13,8,10,11,6,12,10,6,15,109,105,152,13881,CHARLOTTE, NC
67,9,7,15,9,6,13,9,8,14,10,8,12,8,11,12,7,12,11,7,13,12,7,12,11,10,9,12,13,7,10,11,7,12,10,6,15,109,107,150,13723,GREENSBORO-WNSTN-SALM-HGHP,
47,9,7,15,9,6,14,9,7,14,10,9,11,8,10,13,8,12,11,7,12,12,7,12,11,10,9,11,13,7,11,11,7,11,10,7,14,111,106,149,13722,RALEIGH, NC
44,10,6,15,9,6,13,10,8,14,11,8,11,8,11,12,7,11,12,6,12,13,7,12,12,8,10,12,12,7,11,12,7,11,10,7,14,111,104,150,13748,WILMINGTON, NC
56,7,8,17,6,8,15,6,8,17,6,9,15,6,10,14,7,10,12,11,13,7,12,11,8,10,9,11,9,8,14,6,7,17,7,7,17,93,107,165,24011,BISMARCK, ND
53,7,7,17,6,7,15,5,9,17,6,9,15,7,10,14,6,11,13,10,13,8,10,12,9,9,9,12,9,8,14,5,6,18,6,7,18,88,109,168,14914,FARGO, ND
34,6,8,17,6,8,15,7,8,16,6,9,15,6,11,13,8,11,11,12,12,7,11,12,8,10,9,11,9,8,14,6,7,16,7,7,17,93,112,160,94014,WILLISTON, ND
47,3,6,22,3,6,19,5,6,20,5,8,18,6,9,16,6,11,13,7,13,11,8,12,11,8,9,12,9,8,14,4,6,20,3,5,23,68,99,198,14895,AKRON, OH
44,5,6,20,5,6,17,5,7,19,6,8,17,6,10,15,7,10,13,8,12,12,8,12,11,10,9,11,10,7,13,6,6,18,5,6,20,81,98,186,93814,GREATER CINCINNATI AP,OH
54,3,5,24,3,6,20,5,6,20,5,8,17,6,10,15,7,11,12,8,12,11,9,11,11,8,10,12,8,8,15,3,6,21,3,5,24,66,97,202,14820,CLEVELAND, OH
46,4,6,21,4,6,18,5,7,19,5,8,17,6,10,15,6,11,13,7,13,11,7,13,11,9,9,12,10,8,13,5,7,19,4,6,21,72,103,190,14821,COLUMBUS, OH
52,5,6,20,5,6,17,5,7,19,5,7,17,6,9,16,6,10,13,7,12,11,8,12,11,9,9,12,10,8,13,5,7,18,4,6,21,77,100,188,93815,DAYTON, OH
30,4,6,21,4,6,18,5,7,19,6,8,16,7,10,15,7,12,11,8,13,10,8,11,11,9,9,12,9,8,14,4,6,20,3,5,23,73,101,191,14891,MANSFIELD, OH
40,5,7,20,5,7,17,5,7,19,6,8,17,7,10,14,7,12,12,8,13,10,8,12,11,8,10,12,8,9,14,4,7,19,3,6,22,73,107,185,94830,TOLEDO, OH
52,3,5,23,3,5,20,5,6,20,5,7,18,6,9,17,6,11,12,7,13,11,7,12,12,7,10,13,8,8,15,3,6,21,3,5,23,63,97,205,14852,YOUNGSTOWN, OH
44,11,6,14,9,7,13,10,8,13,9,8,13,9,10,12,10,11,9,15,10,7,14,10,7,13,8,9,14,7,10,12,7,11,12,6,13,139,96,130,13967,OKLAHOMA CITY, OK
54,10,7,14,9,6,13,9,8,14,8,9,13,8,10,13,9,11,10,13,11,7,13,11,7,12,8,10,14,7,10,11,7,12,10,7,13,127,103,136,13968,TULSA, OK
40,3,4,24,3,3,22,3,5,23,3,6,21,3,8,20,3,7,19,6,10,15,6,10,15,8,7,14,5,7,19,3,5,22,3,4,24,50,76,239,94224,ASTORIA, OR
11,5,8,18,6,6,17,6,7,18,5,10,15,9,10,12,12,9,9,19,7,5,20,8,3,16,8,6,12,7,12,6,7,17,5,7,18,120,94,151,94185,BURNS,OR
53,2,4,25,3,4,21,3,6,22,4,7,19,6,9,17,8,8,14,16,8,7,14,9,8,12,8,9,5,9,17,2,6,23,1,4,26,75,82,209,24221,EUGENE, OR
67,3,5,24,4,6,19,5,7,19,6,8,16,9,9,13,13,8,9,23,5,3,22,6,4,18,6,6,10,8,12,3,6,21,2,4,25,117,79,169,24225,MEDFORD, OR
60,2,5,24,3,6,20,5,8,19,5,10,15,8,11,13,10,10,10,19,8,4,18,8,5,15,8,7,10,8,13,4,6,20,3,5,24,101,91,173,24155,PENDLETON, OR
47,3,4,24,3,4,21,3,5,23,3,6,21,5,7,19,6,8,16,13,8,10,11,10,10,10,8,12,5,8,18,3,4,23,2,3,26,68,74,222,24229,PORTLAND, OR
58,3,5,24,3,4,21,4,6,21,4,7,19,6,8,18,7,8,15,15,8,8,14,9,9,11,8,10,6,8,17,3,5,22,2,4,25,77,80,208,24232,SALEM, OR
30,5,5,21,4,4,20,5,5,21,6,7,17,9,7,14,13,7,10,23,5,3,21,6,4,17,6,7,11,6,14,6,5,20,5,4,22,126,68,172,24235,SEXTON SUMMIT, OR
52,7,8,16,7,8,13,8,8,15,7,9,14,7,11,14,8,11,11,8,12,11,9,11,11,9,9,12,10,9,12,7,8,15,7,7,17,94,110,161,14737,ALLENTOWN, PA
40,2,4,25,3,6,20,5,7,19,6,8,17,7,10,14,8,11,11,8,13,10,8,12,11,7,10,14,6,8,17,3,5,23,1,4,26,63,97,205,14860,ERIE, PA.
53,7,7,17,7,7,14,7,8,16,6,9,15,6,10,15,7,12,12,7,12,12,8,11,12,9,9,12,10,8,13,6,8,15,6,8,17,87,109,169,14751,HARRISBURG, PA
61,7,8,17,7,7,14,7,8,16,7,9,15,6,11,14,6,12,12,7,12,12,8,12,12,9,10,12,10,9,13,6,8,15,6,8,17,85,112,168,14711,MIDDLETOWN/HARRISBURG I AP,
55,7,8,16,7,7,14,8,8,15,7,9,14,6,11,14,7,11,12,7,12,12,8,11,11,10,9,11,11,9,12,7,9,14,7,8,15,93,112,160,13739,PHILADELPHIA, PA
43,3,6,22,3,6,19,4,7,20,4,8,17,5,9,17,5,12,13,5,13,13,7,12,13,7,10,13,8,9,14,4,6,20,3,6,23,59,103,203,94823,PITTSBURGH, PA
40,4,7,20,5,7,17,5,8,18,6,8,16,6,10,16,7,11,12,6,13,12,7,12,12,7,10,13,8,8,14,4,7,19,4,7,20,70,106,189,14777,AVOCA, PA
51,5,7,19,5,7,16,6,8,17,6,8,16,5,10,15,6,12,12,6,13,12,6,13,12,6,11,14,7,9,15,4,7,19,4,7,20,67,110,188,14778,WILLIAMSPORT, PA
19,8,9,14,8,8,12,9,9,13,8,8,13,7,11,13,8,10,12,7,11,13,7,11,13,10,9,11,11,8,12,7,10,14,7,10,14,98,113,155,94793,BLOCK IS.,RI
42,10,7,15,8,7,13,8,8,15,7,8,14,6,10,15,7,10,13,7,12,12,8,10,12,9,8,12,11,8,12,8,7,15,8,8,15,98,103,164,14765,PROVIDENCE, RI
47,9,6,16,9,6,13,9,8,14,11,8,11,8,11,12,6,11,13,5,12,13,6,13,13,7,10,13,11,8,11,12,7,12,9,7,14,102,109,155,13880,CHARLESTON AP,SC
48,9,6,16,9,6,13,9,8,14,11,8,11,9,10,11,8,11,11,7,13,12,8,12,11,10,9,12,13,7,11,12,6,12,10,6,15,115,103,147,13883,COLUMBIA, SC
33,10,6,15,10,5,13,10,8,13,11,8,11,8,10,13,8,11,11,7,13,11,8,12,11,10,9,11,14,7,10,12,6,12,11,6,14,121,100,145,03870,GREENVILLE-SPARTANBURG AP,
28,8,8,16,7,6,15,6,7,17,7,7,16,8,10,14,9,10,11,11,13,7,12,11,8,11,8,11,10,8,13,6,6,18,7,7,17,101,101,163,14929,ABERDEEN, SD
56,8,8,15,6,8,14,6,8,17,7,9,15,8,10,14,9,11,10,12,12,7,12,11,7,12,8,10,11,8,12,7,7,16,7,7,16,104,107,154,14936,HURON, SD
53,8,8,15,6,8,14,6,9,15,6,10,15,7,11,13,9,11,10,13,13,5,14,12,5,13,9,8,12,8,11,8,8,14,8,8,14,111,115,139,24090,RAPID CITY, SD
50,8,8,15,7,7,15,6,8,17,7,8,15,7,10,14,9,11,11,12,12,8,12,11,9,12,8,10,11,8,12,7,7,16,8,7,16,105,103,157,14944,SIOUX FALLS, SD
58,6,7,18,6,7,16,7,8,17,8,9,14,7,11,14,6,13,11,6,13,12,7,14,11,10,10,11,12,8,11,8,7,14,7,7,17,88,112,165,13877,BRISTOL-JHNSN CTY-KNGSPRT,
65,7,7,17,7,6,15,8,8,16,9,8,13,9,10,12,8,12,10,7,13,11,8,13,10,10,10,11,13,8,10,10,7,13,8,6,17,104,106,155,13882,CHATTANOOGA, TN
53,6,7,18,7,6,16,7,7,16,8,9,13,8,10,13,7,12,10,7,13,11,8,12,10,10,9,11,12,8,11,9,7,14,7,7,17,97,107,162,13891,KNOXVILLE, TN
43,8,6,17,8,6,15,8,7,17,9,7,14,8,10,13,10,11,9,10,12,9,12,12,7,12,8,10,14,7,10,10,6,14,9,6,16,118,96,151,13893,MEMPHIS, TN
54,6,6,18,7,6,15,8,7,16,8,8,13,8,10,13,8,12,10,8,13,10,10,12,9,11,9,10,13,8,10,9,7,14,7,7,17,102,106,156,13897,NASHVILLE, TN
42,7,7,17,8,6,15,8,7,16,10,7,13,9,9,13,9,10,10,8,12,11,9,11,10,10,9,11,14,7,10,9,7,14,8,6,17,109,98,158,03841,OAK RIDGE,TN
56,11,6,14,10,6,12,11,7,12,12,8,11,10,10,11,13,11,7,14,10,7,14,10,7,14,8,8,15,7,9,13,6,11,12,6,13,149,95,121,13962,ABILENE, TX
51,13,7,11,10,7,10,12,9,11,12,9,9,11,10,10,13,11,6,13,12,5,14,10,7,15,7,8,17,7,8,15,7,9,13,7,10,157,104,104,23047,AMARILLO, TX
54,9,6,16,8,6,14,9,8,15,8,8,15,6,11,13,8,15,7,12,13,6,12,14,5,11,11,9,12,9,9,11,7,12,10,6,15,115,114,136,13958,AUSTIN, TX
52,6,7,18,7,6,15,7,8,16,5,10,15,6,14,11,8,15,6,11,14,6,11,14,7,9,13,8,11,12,7,9,9,12,7,7,17,96,131,138,12919,BROWNSVILLE, TX
53,7,7,17,7,6,15,7,8,16,6,9,15,5,12,13,9,14,7,11,14,6,11,13,7,10,12,8,12,10,8,9,9,12,8,6,17,102,121,142,12924,CORPUS CHRISTI, TX
42,10,6,16,10,6,13,10,8,14,9,8,13,8,10,13,11,12,8,15,10,6,15,10,6,13,9,9,14,7,10,12,6,12,11,6,14,135,97,133,03927,DALLAS-FORT WORTH, TX
16,10,7,14,10,7,11,11,8,13,8,7,14,6,9,16,8,13,9,12,11,8,11,12,8,9,11,10,12,8,10,12,7,11,11,6,14,121,106,138,22010,DEL RIO, TX
53,14,7,10,14,7,7,15,8,7,17,8,5,19,8,4,20,7,3,12,13,5,14,12,5,18,7,5,19,7,5,18,6,6,15,7,9,193,100,72,23044,EL PASO, TX
26,7,5,18,7,5,16,7,6,18,7,7,16,6,11,14,7,13,9,7,16,8,6,17,8,9,11,10,11,9,11,9,7,14,7,6,18,90,114,161,12960,HOUSTON, TX
49,12,6,12,11,7,10,12,9,11,12,9,9,11,11,9,14,11,6,14,11,6,15,10,6,14,8,8,17,7,8,15,7,9,13,7,11,160,102,103,23042,LUBBOCK, TX
47,12,6,12,11,7,10,13,8,10,13,8,9,13,10,8,15,9,5,13,11,7,14,10,6,14,8,8,17,6,8,15,6,9,14,6,11,165,96,104,23023,MIDLAND-ODESSA, TX
42,7,6,18,8,6,15,7,7,17,6,8,16,7,12,12,8,14,8,7,15,9,7,15,9,9,11,10,12,10,9,10,7,13,8,6,17,95,117,153,12917,PORT ARTHUR, TX
47,12,6,13,11,6,11,12,8,11,11,8,11,11,10,10,14,10,6,15,10,7,15,10,6,13,8,8,15,7,8,14,6,10,12,7,12,154,97,114,23034,SAN ANGELO, TX
53,9,6,16,8,6,14,9,7,15,7,8,15,6,11,14,7,15,8,9,15,7,10,15,6,9,12,9,11,10,9,10,7,13,10,6,16,105,119,141,12921,SAN ANTONIO, TX
34,7,6,18,7,6,16,7,7,18,5,8,17,5,11,15,6,15,9,7,15,8,7,15,9,8,12,10,11,10,10,9,7,14,7,6,19,86,118,162,12912,VICTORIA, TX
50,9,6,16,9,6,14,10,7,14,9,7,14,8,10,13,10,12,8,14,10,6,14,11,6,12,9,8,13,8,9,12,6,12,11,6,15,130,98,136,13959,WACO, TX
50,11,6,14,10,6,12,11,8,12,11,8,11,11,9,11,13,11,7,15,9,7,15,9,6,15,7,8,15,7,9,13,6,11,12,6,13,151,93,120,13966,WICHITA FALLS, TX
40,9,8,14,8,8,12,9,8,13,10,10,11,11,10,9,17,8,5,16,10,5,16,10,5,18,7,4,17,7,7,11,8,11,10,8,13,151,104,111,23176,MILFORD, UT
69,6,6,19,5,7,16,7,8,16,7,9,14,9,10,12,14,10,6,17,10,4,16,11,4,16,8,5,14,8,9,8,7,15,6,6,18,125,101,139,24127,SALT LAKE CITY, UT
52,5,6,20,4,7,17,6,7,18,5,8,17,5,9,17,5,11,14,5,13,13,6,12,13,6,10,14,6,8,17,3,5,22,3,6,22,58,101,206,14742,BURLINGTON, VT
49,9,7,15,8,7,13,9,9,13,9,9,12,8,10,13,8,12,10,8,12,11,9,11,11,10,9,11,13,7,11,10,7,13,10,7,14,112,107,147,13733,LYNCHBURG, VA
47,9,7,16,8,6,14,9,8,15,9,9,12,8,10,13,7,12,11,7,12,12,8,12,11,9,9,11,12,7,12,10,8,12,9,7,15,106,107,153,13737,NORFOLK, VA
50,8,7,16,8,6,14,8,8,15,8,9,13,7,10,14,7,12,12,7,12,12,7,12,12,9,9,12,12,7,12,9,8,13,9,6,15,100,106,160,13740,RICHMOND, VA
48,8,8,15,8,7,14,8,8,14,9,9,13,7,11,13,7,12,11,7,13,11,8,12,11,10,9,12,13,7,11,9,8,13,9,8,14,102,112,151,13741,ROANOKE, VA
54,2,4,25,2,4,22,3,6,22,3,7,20,4,9,18,5,8,16,10,10,11,9,10,12,8,10,13,3,8,20,2,5,23,2,4,26,52,84,228,24227,OLYMPIA, WA
29,3,3,24,4,4,21,4,6,22,3,6,21,3,8,20,4,7,20,6,9,16,6,9,16,8,8,14,5,7,19,3,5,22,4,4,24,51,75,239,94240,QUILLAYUTE, WA
24,3,5,23,3,6,19,4,8,19,5,9,16,7,10,14,7,8,15,12,10,9,10,10,11,9,8,13,5,8,18,3,6,21,3,5,23,71,93,201,24281,SEATTLE C.O., WA
51,3,4,24,3,4,21,3,6,22,3,7,20,4,9,18,5,8,17,10,10,11,9,10,12,8,9,13,4,7,19,2,4,23,2,4,25,58,82,226,24233,SEATTLE SEA-TAC AP, WA
48,3,4,24,3,5,20,5,8,19,4,8,17,6,10,15,7,10,12,16,8,6,15,9,7,12,8,9,8,8,15,3,5,22,3,4,24,86,88,191,24157,SPOKANE, WA
49,4,5,22,4,6,18,6,8,17,6,9,14,8,11,12,10,10,10,19,8,4,18,8,6,15,8,7,9,8,13,5,6,19,4,5,22,109,92,164,24243,YAKIMA, WA
32,5,5,21,4,5,18,5,6,20,5,7,17,5,9,17,3,10,16,3,12,16,4,12,16,6,9,15,9,8,14,5,7,18,5,6,21,60,95,210,03872,BECKLEY, WV
47,4,6,21,4,6,18,5,8,19,6,8,16,6,10,15,5,13,12,5,13,13,5,14,12,7,11,12,9,9,13,5,7,18,5,6,20,65,111,189,13866,CHARLESTON, WV
49,3,6,22,3,6,19,4,6,20,4,8,18,4,9,17,3,11,16,2,13,16,3,14,15,4,11,15,7,8,13,5,6,19,4,5,21,48,103,212,13729,ELKINS, WV
34,4,6,21,4,5,19,5,7,19,5,8,17,6,9,17,5,11,14,5,12,14,5,12,14,7,9,14,9,8,14,5,6,19,5,5,21,63,99,203,03860,HUNTINGTON, WV
46,8,7,17,7,7,15,7,8,16,6,8,16,7,10,14,8,11,12,8,12,11,8,11,12,8,9,13,7,8,15,5,6,19,6,6,19,85,102,178,14898,GREEN BAY, WI
17,7,7,17,8,7,13,7,7,17,7,7,16,7,9,15,7,10,12,10,11,10,9,11,11,9,9,12,11,7,13,6,6,18,7,6,18,95,97,173,14920,LA CROSSE, WI
49,7,6,17,7,6,15,6,7,17,6,8,16,7,9,15,7,10,13,9,11,11,9,10,12,9,8,12,9,7,14,5,6,18,6,6,19,89,96,180,14837,MADISON, WI
55,7,6,18,6,6,15,6,8,17,6,8,16,7,10,14,8,10,12,10,11,10,10,11,10,9,9,12,9,8,13,5,6,18,6,6,19,90,100,175,14839,MILWAUKEE, WI
45,7,8,16,6,8,14,6,9,16,5,9,16,6,11,15,10,11,9,14,11,6,13,11,7,13,9,8,11,8,12,7,8,14,8,8,15,107,111,147,24089,CASPER, WY
60,9,10,13,7,9,12,7,10,14,6,10,14,5,12,14,9,12,9,10,15,7,10,13,8,13,9,9,13,9,9,10,9,11,9,9,13,106,127,133,24018,CHEYENNE, WY
49,8,10,13,7,10,12,7,10,14,6,10,14,6,11,14,10,11,9,14,11,6,13,12,6,14,9,8,12,9,10,8,10,12,10,10,12,114,122,129,24021,LANDER, WY
55,6,8,17,5,8,15,5,9,17,5,9,16,6,10,15,8,12,11,13,12,6,14,11,6,12,9,9,10,9,12,6,8,16,7,8,17,95,113,157,24029,SHERIDAN, WY
20,3,13,15,2,10,16,3,15,13,1,15,14,1,16,15,1,11,19,*,9,22,0,5,26,*,6,23,*,10,21,2,13,15,3,12,16,16,134,215,41415,GUAM, PC
24,13,14,4,11,13,4,11,14,6,7,12,11,6,13,12,7,15,8,7,16,9,6,14,11,6,13,11,7,12,12,7,12,12,11,13,7,99,159,107,21603,JOHNSTON ISLAND, PC
53,*,7,23,*,7,21,1,9,21,1,10,19,1,9,21,*,5,24,*,5,25,*,5,26,*,6,23,1,8,22,*,8,22,*,7,24,4,86,273,40309,KOROR, PC
40,9,18,4,7,16,4,9,17,4,7,17,6,4,16,12,4,16,10,5,17,9,5,17,8,4,17,9,5,17,9,5,18,7,7,18,6,73,203,89,11641,SAN JUAN, PR
