YRS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
198401-202012,10.1,10.3,11.0,10.7,9.1,8.4,7.4,7.3,7.9,9.0,10.0,10.0,9.3,13995,SPRINGFIELD,MO
198401-202012,13.4,11.9,10.8,10.6,9.9,9.4,8.8,8.8,9.3,10.6,11.9,12.9,10.7,24033,BILLINGS,MT
198401-202012,9.5,9.5,11.1,12.1,12.0,11.0,10.4,10.7,10.5,10.5,9.7,9.4,10.5,94008,GLASGOW,MT
198401-202012,14.0,12.2,11.8,11.4,10.5,9.9,9.1,9.1,10.0,11.8,13.7,14.0,11.5,24143,GREAT FALLS,MT
198401-202012,10.1,9.3,9.8,10.5,10.1,9.6,8.5,8.4,8.6,9.3,9.9,10.0,9.5,94012,HAVRE,MT
198401-202012,5.7,6.4,7.4,8.3,8.0,7.9,7.1,6.5,6.4,6.6,6.3,5.6,6.9,24144,HELENA,MT
198401-202012,4.3,5.0,6.0,7.0,6.7,6.0,5.6,5.4,5.1,4.6,4.8,4.0,5.4,24146,KALISPELL,MT
198401-202012,4.0,4.9,5.8,6.7,6.5,6.5,6.3,5.8,5.1,4.5,4.4,4.0,5.4,24153,MISSOULA,MT
198401-202012,11.2,11.6,12.6,13.4,11.9,11.0,9.3,9.0,10.3,11.0,11.3,11.1,11.1,14935,GRAND ISLAND,NE
198401-202012,9.4,9.8,11.1,12.0,10.5,9.9,8.8,8.5,9.3,9.6,9.8,9.2,9.8,14939,LINCOLN,NE
198401-202012,11.0,11.2,12.0,12.4,11.1,10.1,8.9,8.8,9.9,10.5,10.8,10.7,10.6,14941,NORFOLK,NE
198401-202012,8.5,9.2,10.4,11.5,10.4,9.5,8.5,8.1,8.8,9.0,8.7,8.3,9.2,24023,NORTH PLATTE,NE
198401-202012,10.3,10.5,11.4,11.8,10.4,9.7,8.6,8.3,9.3,9.8,10.4,10.2,10.0,14942,OMAHA,NE
198401-202012,9.9,10.4,11.0,11.6,10.9,9.9,8.6,8.2,8.5,9.2,9.4,9.4,9.8,24028,SCOTTSBLUFF,NE
198401-202012,9.4,9.6,10.4,11.3,11.0,10.1,9.2,9.3,9.8,9.9,9.6,9.4,9.9,24032,VALENTINE,NE
198401-202012,4.8,5.5,6.3,6.9,6.6,6.5,6.1,5.7,5.3,4.9,5.0,4.8,5.7,24121,ELKO,NV
198401-202012,9.0,9.3,9.9,10.0,9.8,10.0,9.5,9.6,9.4,9.2,9.0,9.0,9.5,23154,ELY,NV
198401-202012,6.7,7.7,9.3,10.3,10.3,10.3,9.1,8.7,8.0,7.4,6.9,6.6,8.4,23169,LAS VEGAS,NV
198401-202012,4.6,5.8,7.5,8.2,8.1,7.8,7.2,6.6,5.6,4.9,5.1,4.9,6.4,23185,RENO,NV
198401-202012,7.0,7.9,8.3,8.5,8.3,8.4,7.8,7.4,7.1,6.7,7.0,7.0,7.6,24128,WINNEMUCCA,NV
198401-202012,6.6,7.1,7.4,7.1,6.3,5.6,5.1,4.6,4.8,5.4,5.9,6.3,6.0,14745,CONCORD,NH
198401-202008,46.8,45.4,41.0,35.5,30.5,28.7,26.0,25.7,29.3,36.2,40.4,44.3,35.8,14755,MT. WASHINGTON,NH
198401-202012,9.5,10.0,10.6,10.4,8.9,8.0,7.4,6.9,7.4,7.9,8.7,9.0,8.7,93730,ATLANTIC CITY,NJ
198401-202012,10.7,10.9,11.2,10.6,9.5,9.2,8.7,8.4,8.7,9.4,10.0,10.3,9.8,14734,NEWARK,NJ
198401-202012,7.3,8.3,9.0,10.1,9.8,9.2,8.2,7.6,7.6,7.6,7.3,6.9,8.2,23050,ALBUQUERQUE,NM
198401-202012,11.6,12.5,13.0,14.0,13.0,12.7,11.3,10.4,11.4,11.8,12.0,11.8,12.1,23051,CLAYTON,NM
198401-202012,7.4,8.7,9.6,10.4,9.9,9.8,8.5,7.6,7.9,7.7,7.6,7.2,8.5,23009,ROSWELL,NM
198401-202012,8.7,9.0,9.6,9.2,7.8,7.2,6.6,6.0,6.3,7.1,8.2,8.4,7.9,14735,ALBANY,NY
198401-202012,9.8,9.9,10.0,9.7,8.6,8.0,7.2,7.0,7.6,8.6,9.3,9.5,8.8,04725,BINGHAMTON,NY
198401-202012,12.4,11.8,11.1,10.8,10.0,9.3,8.9,8.3,8.5,9.7,11.0,11.5,10.3,14733,BUFFALO,NY
198401-202012,10.0,10.2,10.7,10.2,8.9,8.4,7.8,7.5,7.9,8.6,9.3,9.6,9.1,04781,ISLIP,NY
198401-202012,7.6,7.6,7.7,6.9,5.7,5.1,4.7,4.4,4.9,5.6,6.2,7.0,6.1,94728,NEW YORK Central Par,
198401-202012,12.6,12.6,12.9,12.1,10.5,10.2,9.8,9.4,9.8,10.7,11.7,12.3,11.2,94789,NEW YORK JFK AP,NY
198401-202012,12.7,12.6,12.7,11.8,10.6,10.1,9.5,9.4,10.1,10.8,11.8,12.4,11.2,14732,NEW YORK Laguardia A,
198401-202012,10.6,10.4,10.2,10.0,8.7,8.1,7.4,7.0,7.3,8.4,9.4,9.9,9.0,14768,ROCHESTER,NY
198401-202012,9.7,9.6,9.6,9.2,7.9,7.2,6.8,6.3,6.8,7.7,9.1,9.4,8.3,14771,SYRACUSE,NY
198401-202012,8.5,8.4,8.3,7.8,6.1,5.2,4.9,4.5,4.7,5.7,7.1,7.7,6.6,03812,ASHEVILLE,NC
198401-202012,10.0,10.1,10.5,10.6,9.7,9.5,9.0,8.4,9.4,9.2,9.4,9.7,9.6,93729,CAPE HATTERAS,NC
198401-202012,6.6,7.1,7.6,7.6,6.7,6.1,5.7,5.4,6.1,5.7,5.9,6.1,6.4,13881,CHARLOTTE,NC
198401-202012,7.7,8.0,8.5,8.6,7.4,6.7,6.2,5.8,6.2,6.3,6.8,7.0,7.1,13723,GREENSBORO-WNSTN-SAL,
198401-202012,6.8,7.2,7.8,7.9,6.9,6.3,6.1,5.6,5.9,5.6,5.7,6.1,6.5,13722,RALEIGH,NC
198401-202012,8.0,8.4,9.0,9.2,8.2,7.6,7.2,6.5,7.2,6.8,7.1,7.3,7.7,13748,WILMINGTON,NC
198401-202012,9.2,9.0,10.1,10.7,10.6,9.5,8.5,8.6,9.0,9.5,9.0,9.0,9.4,24011,BISMARCK,ND
198401-202012,11.3,11.5,11.9,12.3,12.0,10.5,9.2,9.5,10.5,11.6,11.5,11.3,11.1,14914,FARGO,ND
199502-202012,11.0,10.7,11.0,11.3,11.2,9.7,8.4,8.5,9.8,10.6,10.6,10.7,10.3,14916,GRAND FORKS,ND
198401-201909,8.8,8.7,9.4,10.3,10.4,9.6,8.6,8.5,8.7,9.1,8.6,8.6,9.1,94014,WILLISTON,ND
198401-202012,11.0,10.5,10.4,10.1,8.6,7.9,7.2,6.9,7.5,8.7,10.0,10.3,9.1,14895,AKRON,OH
198401-202012,9.7,9.7,9.9,9.7,7.9,7.2,6.5,6.3,6.7,7.6,8.9,9.1,8.3,93814,CINCINNATI,OH
198401-202012,11.4,10.7,10.7,10.3,9.1,8.4,7.8,7.5,8.1,9.3,10.6,10.7,9.6,14820,CLEVELAND,OH
198401-202012,9.2,8.9,9.0,8.9,7.4,6.8,6.0,5.6,5.9,6.9,8.1,8.5,7.6,14821,COLUMBUS,OH
198401-202012,11.1,10.8,10.8,10.7,9.2,8.3,7.4,7.0,7.6,8.9,10.3,10.5,9.4,93815,DAYTON,OH
198401-202012,11.7,11.0,11.1,11.1,9.5,8.5,7.5,7.2,7.9,9.5,10.8,10.9,9.7,14891,MANSFIELD,OH
198401-202012,10.4,10.0,10.1,10.3,8.7,7.6,6.7,6.2,6.7,8.1,9.4,9.6,8.6,94830,TOLEDO,OH
198401-202012,10.2,9.8,9.9,9.7,8.2,7.3,6.7,6.4,7.0,8.2,9.4,9.7,8.5,14852,YOUNGSTOWN,OH
198401-202012,11.6,12.2,13.2,13.3,11.7,10.8,9.8,9.3,9.7,11.0,11.9,11.3,11.3,13967,OKLAHOMA CITY,OK
198401-202012,9.4,9.7,10.7,11.0,9.9,9.4,8.7,7.9,8.0,8.8,9.7,9.1,9.4,13968,TULSA,OK
198401-202012,8.4,8.1,8.2,8.1,7.8,8.0,8.2,7.5,6.8,6.9,8.1,8.4,7.9,94224,ASTORIA,OR
199804-202012,4.8,6.2,7.5,8.3,8.0,7.6,7.0,6.7,6.3,5.9,5.4,5.0,6.6,94185,BURNS,OR
198401-202012,6.9,7.1,7.3,7.1,6.6,7.0,7.4,7.1,6.8,6.4,6.9,7.0,7.0,24221,EUGENE,OR
198401-202012,3.1,3.8,4.4,4.7,5.1,5.5,5.2,4.6,3.7,3.0,3.0,3.1,4.1,24225,MEDFORD,OR
198401-202012,6.9,7.4,8.5,9.2,8.8,8.9,8.4,8.2,7.7,7.5,7.5,7.0,8.0,24155,PENDLETON,OR
198401-202012,9.2,8.5,7.6,7.0,6.6,6.8,7.1,6.6,6.1,6.2,7.9,9.1,7.4,24229,PORTLAND,OR
198401-202012,6.9,6.9,7.2,6.8,6.3,6.5,6.5,5.9,5.5,5.6,7.0,6.9,6.5,24232,SALEM,OR
198401-202012,11.1,9.8,8.5,7.4,7.0,7.0,7.3,6.9,7.0,8.3,10.4,11.0,8.5,24235,SEXTON SUMMIT,OR
198401-202012,8.2,8.6,9.1,8.7,7.6,6.9,6.1,5.7,6.0,6.7,7.4,7.8,7.4,14737,ALLENTOWN,PA
198401-202012,12.0,10.9,10.7,10.2,9.2,8.6,8.0,8.0,8.9,10.2,11.6,11.8,10.0,14860,ERIE,PA
199110-202012,8.5,8.8,9.3,8.8,7.2,6.5,5.9,5.4,5.7,6.2,7.4,8.0,7.3,14711,MIDDLETOWN/HARRISBUR,
198401-202012,9.9,10.3,10.8,10.3,9.0,8.6,8.3,7.8,8.1,8.7,9.3,9.7,9.2,13739,PHILADELPHIA,PA
198401-202012,9.2,9.1,9.3,9.1,7.6,7.0,6.2,5.9,6.2,7.1,8.1,8.6,7.8,94823,PITTSBURGH,PA
198401-202012,7.7,7.9,8.3,8.1,6.9,6.3,5.9,5.5,5.9,6.4,7.2,7.4,7.0,14777,AVOCA,PA
198401-202012,7.6,7.7,7.9,7.8,6.5,5.9,5.3,4.8,5.1,5.7,6.7,7.1,6.5,14778,WILLIAMSPORT,PA
198401-202012,9.7,10.0,10.7,10.4,9.5,8.8,8.4,8.1,8.1,8.7,9.1,9.3,9.2,14765,PROVIDENCE,RI
198401-202012,8.2,8.6,9.1,9.1,8.3,7.7,7.3,6.8,7.3,7.2,7.3,7.5,7.9,13782,CHARLESTON,SC
198401-202012,6.6,6.9,7.3,7.5,6.6,6.0,5.7,5.1,5.5,5.3,5.3,5.8,6.1,13883,COLUMBIA,SC
198401-202012,7.2,7.5,7.9,7.8,6.7,6.2,5.7,5.2,5.8,6.0,6.2,6.6,6.6,03870,GREENVILLE-SPARTANBU,
198401-202012,10.5,10.7,11.5,12.4,12.0,10.5,9.1,9.0,10.1,10.7,10.5,10.4,10.6,14929,ABERDEEN,SD
198401-202012,10.5,10.6,11.4,11.8,11.1,9.8,9.0,8.9,9.8,10.4,10.5,10.5,10.4,14936,HURON,SD
198401-202012,10.3,10.8,11.6,12.6,11.7,10.3,9.5,9.4,10.1,10.8,10.3,10.1,10.6,24090,RAPID CITY,SD
198401-202012,10.3,10.4,11.4,12.0,10.9,9.8,9.1,8.7,9.6,10.0,10.3,10.0,10.2,14944,SIOUX FALLS,SD
198401-202012,5.5,5.7,6.0,5.7,4.5,3.9,3.6,3.1,3.2,3.6,4.2,4.7,4.5,13877,BRISTOL-JHNSN CTY-KN,
198401-202012,5.8,6.2,6.5,6.0,5.0,4.4,4.2,3.9,4.0,4.2,4.7,5.3,5.0,13882,CHATTANOOGA,TN
198401-202012,6.7,7.1,7.3,7.2,6.2,5.6,5.4,4.8,4.8,5.0,5.5,6.1,6.0,13891,KNOXVILLE,TN
198401-202012,8.9,9.4,9.5,9.2,8.3,7.4,6.8,6.6,7.0,7.3,8.0,8.6,8.1,13893,MEMPHIS,TN
198401-202012,8.0,8.3,8.5,8.0,6.9,6.1,5.8,5.5,5.8,6.3,7.2,7.8,7.0,13897,NASHVILLE,TN
198401-202012,10.7,11.4,12.4,13.0,12.1,11.3,10.0,9.0,9.1,10.4,10.8,10.5,10.9,13962,ABILENE,TX
198401-202012,12.1,12.9,13.9,14.7,13.7,13.9,12.4,11.4,12.1,12.5,12.7,12.2,12.9,23047,AMARILLO,TX
198401-202012,6.7,7.2,7.7,7.6,7.2,6.6,6.2,5.7,5.4,5.8,6.2,6.3,6.5,13958,AUSTIN,TX
198401-202012,10.0,11.3,12.0,12.4,12.2,10.9,10.9,9.4,7.9,8.6,9.4,9.7,10.4,12919,BROWNSVILLE,TX
198401-202012,11.8,12.8,13.6,13.8,12.6,10.7,10.8,10.3,9.7,10.6,11.5,11.6,11.7,12924,CORPUS CHRISTI,TX
199804-202012,8.9,10.0,10.7,11.3,10.8,10.3,8.9,8.2,7.9,8.7,8.9,8.7,9.4,13960,DALLAS,TX
199604-202012,7.3,8.2,9.3,10.1,10.2,10.5,9.9,8.9,7.7,8.1,7.4,7.0,8.7,22010,DEL RIO,TX
198401-202012,7.4,8.5,9.5,10.5,9.8,8.7,7.7,7.0,6.9,7.1,7.3,7.2,8.1,23044,EL PASO,TX
199903-202012,11.5,11.8,12.0,12.6,12.7,11.1,9.8,9.5,9.9,10.7,11.1,11.4,11.2,12923,GALVESTON,TX
198401-202012,7.9,8.4,8.7,8.9,8.3,7.1,6.2,5.9,6.3,6.9,7.4,7.6,7.5,12960,HOUSTON,TX
198401-202012,11.7,12.4,13.6,14.3,13.7,13.1,10.9,10.0,10.2,11.1,11.5,11.4,12.0,23042,LUBBOCK,TX
198401-202012,10.1,11.0,11.9,12.7,12.4,12.4,10.9,9.8,9.8,10.3,10.1,9.9,10.9,23023,MIDLAND-ODESSA,TX
198401-202012,9.5,10.1,10.1,10.2,9.2,7.8,6.3,6.0,7.2,8.1,8.8,9.2,8.5,12917,PORT ARTHUR,TX
198401-202012,9.6,10.3,10.9,11.2,10.5,9.9,8.9,8.1,7.9,8.6,9.3,9.3,9.5,23034,SAN ANGELO,TX
198401-202012,7.6,8.1,9.0,9.3,9.4,9.2,8.8,8.1,7.3,7.5,7.5,7.4,8.3,12921,SAN ANTONIO,TX
198401-202012,9.7,10.3,10.8,11.1,10.6,9.3,8.5,8.0,7.8,8.4,8.9,9.3,9.4,12912,VICTORIA,TX
198401-202012,9.9,10.6,11.3,11.3,10.5,10.0,9.8,9.1,8.4,9.2,9.7,9.5,10.0,13959,WACO,TX
198401-202012,10.9,11.5,12.4,12.8,12.1,11.7,10.7,9.7,9.6,10.7,11.1,10.6,11.2,13966,WICHITA FALLS,TX
198401-202012,6.5,7.7,9.0,9.4,9.0,9.2,9.1,9.3,8.7,7.9,7.5,6.9,8.4,24127,SALT LAKE CITY,UT
198401-202012,9.2,8.6,8.9,8.9,8.2,7.6,7.0,6.9,7.4,8.1,9.1,8.9,8.2,14742,BURLINGTON,VT
198401-202012,6.3,6.5,7.0,7.1,5.9,5.1,4.7,4.4,4.9,5.1,5.5,5.7,5.7,13733,LYNCHBURG,VA
198401-202012,10.0,10.3,10.9,10.9,9.9,9.1,8.5,8.0,9.1,9.1,9.2,9.4,9.5,13737,NORFOLK,VA
198401-202012,8.2,8.5,9.1,9.1,7.9,7.3,6.9,6.3,6.8,6.9,7.4,7.5,7.7,13740,RICHMOND,VA
198401-202012,8.0,8.0,8.2,7.9,6.5,5.9,5.5,5.0,5.1,5.7,6.5,7.1,6.6,13741,ROANOKE,VA
198401-202012,9.3,9.7,10.4,10.5,9.7,8.9,8.1,7.9,8.7,8.4,8.6,8.5,9.0,93739,WALLOPS ISLAND,VA
198401-202012,6.0,5.9,6.3,6.5,6.0,6.1,5.5,5.2,4.9,5.3,6.3,5.9,5.8,24227,OLYMPIA,WA
198401-202012,6.3,6.2,6.2,5.9,5.3,5.1,4.8,4.4,4.3,4.9,6.0,6.0,5.4,94240,QUILLAYUTE,WA
198401-202012,8.4,8.5,8.6,8.2,7.7,7.7,7.3,7.0,7.0,7.4,8.4,8.4,7.9,24233,SEATTLE,WA
198401-202012,8.2,8.5,9.6,9.9,9.3,9.3,8.6,8.1,7.9,8.2,8.7,7.9,8.7,24157,SPOKANE,WA
199811-202012,7.1,7.6,8.9,8.9,8.3,8.6,8.2,7.9,7.3,7.2,7.4,7.1,7.9,24160,WALLA WALLA,WA
198401-202012,4.4,5.5,6.7,7.5,7.5,7.7,7.2,6.7,6.3,5.7,5.0,4.1,6.2,24243,YAKIMA,WA
198401-202012,8.6,8.5,8.6,8.4,7.0,6.0,5.4,5.2,5.8,6.6,7.6,8.0,7.1,03872,BECKLEY,WV
198401-202012,5.8,5.7,5.8,5.8,4.4,4.0,3.5,3.1,3.2,3.7,4.6,5.2,4.6,13866,CHARLESTON,WV
198401-202012,6.0,6.1,6.3,6.3,4.9,4.1,3.6,3.1,3.3,4.1,5.0,5.4,4.9,13729,ELKINS,WV
198401-202012,6.9,6.9,7.0,6.9,5.5,5.1,4.6,4.2,4.5,5.1,6.0,6.3,5.7,03860,HUNTINGTON,WV
198401-202012,9.6,9.6,9.6,10.4,9.2,7.9,7.1,6.6,7.5,8.8,9.4,9.2,8.7,14898,GREEN BAY,WI
198401-202012,8.6,8.6,9.0,9.7,8.7,8.1,7.5,7.1,8.0,8.9,9.3,8.6,8.5,14920,LA CROSSE,WI
198401-202011,8.6,8.7,9.2,9.8,8.4,7.4,6.6,6.3,7.0,8.0,8.8,8.4,8.1,14837,MADISON,WI
198401-202011,11.0,10.8,10.9,11.4,10.2,9.0,8.9,8.4,9.0,10.2,10.8,10.6,10.1,14839,MILWAUKEE,WI
198401-202012,15.5,13.9,12.8,11.7,10.7,10.3,9.3,9.5,10.1,11.4,13.8,15.1,12.0,24089,CASPER,WY
198401-202012,14.3,13.6,13.6,13.4,11.9,11.0,9.9,9.8,10.5,11.8,13.1,13.7,12.2,24018,CHEYENNE,WY
198401-202012,4.8,5.2,6.6,7.4,7.3,7.5,7.1,7.0,6.4,5.7,5.3,4.8,6.3,24021,LANDER,WY
198401-202012,6.7,7.1,8.0,9.0,8.3,7.2,6.5,6.3,6.5,6.9,6.7,6.7,7.2,24029,SHERIDAN,WY
198401-202012,11.7,12.0,11.7,11.1,9.6,9.1,7.5,7.0,6.7,7.7,10.6,11.9,9.7,41415,GUAM,PC
198401-201807,6.8,7.0,6.6,6.0,5.2,5.4,6.0,6.6,6.4,5.9,5.5,6.0,6.1,40309,KOROR,PC
198401-202012,7.7,8.2,8.4,8.3,8.1,8.9,9.6,8.4,6.8,6.1,6.7,7.6,7.9,11641,SAN JUAN,PR
