ID,CITY,STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,YRS
13876,BIRMINGHAM AP,AL,43.8,47.7,55.2,62.5,70.6,77.7,81.1,80.7,74.7,64.1,54.4,46.1,63.2,30
3856,HUNTSVILLE,AL,41.5,45.7,53.5,61.8,70.3,77.7,80.6,80.1,73.7,62.8,52.7,43.9,62.0,30
13838,MOBILE,AL,50.2,53.5,59.8,66.4,73.8,79.8,82.1,82.1,78.5,69.2,60.0,52.6,67.3,30
13895,MONTGOMERY,AL,46.6,50.5,57.5,64.1,72.4,79.0,81.8,81.5,76.3,65.9,56.5,48.5,65.1,30
26451,ANCHORAGE,AK,17.1,20.2,26.6,36.8,47.8,55.2,58.8,56.7,48.6,34.8,22.2,19.0,37.0,30
25308,ANNETTE,AK,37.0,37.7,39.7,44.2,50.2,55.1,58.6,58.9,53.8,46.7,40.0,37.1,46.6,30
27502,BARROW,AK,-13.4,-14.2,-12.7,1.8,21.1,35.6,40.9,39.0,32.1,17.2,0.7,-7.8,11.7,30
26615,BETHEL,AK,6.6,11.1,15.2,26.9,41.9,52.5,56.1,53.5,45.6,30.3,17.4,10.4,30.6,30
26533,BETTLES,AK,-10.0,-5.0,4.4,23.3,44.4,58.5,59.7,52.5,40.6,18.9,-1.0,-5.7,23.4,30
26415,BIG DELTA,AK,-1.0,4.9,14.1,32.2,47.6,57.6,60.2,54.8,43.9,24.1,6.2,2.1,28.9,30
25624,COLD BAY,AK,28.2,29.0,30.1,34.0,40.3,46.3,50.9,52.1,48.1,40.4,34.5,31.1,38.8,30
26411,FAIRBANKS,AK,-7.9,-1.3,11.4,32.5,49.4,60.4,62.5,56.1,44.9,24.2,2.6,-4.1,27.6,30
26425,GULKANA,AK,-2.9,5.5,15.6,31.8,45.2,54.4,57.6,53.5,43.3,26.6,5.8,0.4,28.1,30
25507,HOMER,AK,24.8,26.2,29.9,37.0,44.5,50.6,54.6,53.9,48.1,38.1,29.5,27.1,38.7,30
25309,JUNEAU,AK,28.3,30.1,33.8,40.8,48.6,54.6,56.9,55.9,50.0,42.4,33.4,29.9,42.1,30
25503,KING SALMON,AK,16.2,18.8,24.1,33.7,44.2,51.5,55.5,54.6,47.6,33.5,22.9,18.6,35.1,30
25501,KODIAK,AK,30.5,30.8,32.8,37.6,44.3,49.7,54.5,55.2,49.4,40.5,33.9,31.2,40.9,30
26616,KOTZEBUE,AK,-2.8,-0.8,1.1,13.3,31.9,45.7,54.6,51.7,42.3,24.3,9.1,2.3,22.7,30
26510,MCGRATH,AK,-6.5,1.4,11.6,29.7,46.7,57.4,60.0,54.6,44.6,25.1,5.5,-3.2,27.2,30
26617,NOME,AK,5.2,7.4,10.3,20.5,36.8,47.8,52.2,50.1,42.8,28.7,16.9,9.5,27.4,30
25713,ST. PAUL ISLAND,AK,25.1,24.4,24.8,29.2,36.2,42.4,47.2,48.8,45.3,38.6,33.0,28.9,35.3,30
26528,TALKEETNA,AK,14.2,18.1,24.9,35.9,47.8,57.0,60.1,56.7,47.5,33.2,19.5,16.0,35.9,30
26479,VALDEZ,AK,21.8,23.3,28.7,37.0,45.6,51.6,54.1,52.7,47.2,36.7,27.8,24.8,37.6,30
25339,YAKUTAT,AK,28.1,29.7,32.0,37.8,44.7,50.8,54.3,53.8,48.4,41.0,32.3,29.6,40.2,30
3103,FLAGSTAFF,AZ,29.9,32.1,37.0,43.3,51.6,59.9,66.1,64.2,57.4,46.8,36.7,29.6,46.2,30
23183,PHOENIX,AZ,56.4,59.7,65.2,72.7,82.1,90.8,94.8,93.6,88.4,76.7,64.1,55.4,75.0,30
53131,TUCSON,AZ,52.7,54.7,59.9,66.5,75.9,84.5,86.8,84.7,81.3,70.6,59.9,52.4,69.2,30
23194,WINSLOW,AZ,35.2,40.3,47.0,54.3,63.6,72.7,78.2,76.0,68.7,56.3,44.0,34.6,55.9,30
53154,YUMA,AZ,55.6,58.5,63.1,70.2,78.1,86.5,92.5,91.9,86.3,74.1,61.9,54.2,72.7,30
13964,FORT SMITH,AR,39.4,44.2,52.9,61.6,69.9,77.8,82.3,82.1,73.9,62.8,51.6,41.3,61.7,30
13963,LITTLE ROCK,AR,40.8,44.8,53.4,62.1,71.1,79.1,82.8,82.5,75.0,63.7,52.6,43.0,62.6,30
3952,NORTH LITTLE ROCK,AR,41.1,45.3,53.9,62.8,70.9,78.7,82.4,82.0,74.5,63.8,52.8,43.1,62.6,30
23155,BAKERSFIELD,CA,47.8,52.6,57.6,62.6,70.5,77.5,83.8,82.4,77.0,67.2,55.1,47.8,65.2,30
23157,BISHOP,CA,38.5,42.2,48.3,54.5,63.3,71.5,77.3,75.0,67.6,56.8,45.2,37.7,56.5,30
24213,EUREKA,CA.,48.3,48.9,49.7,50.9,53.8,56.1,57.7,58.5,57.0,54.4,50.8,47.8,52.8,30
93193,FRESNO,CA,46.6,51.5,56.6,62.0,70.1,77.2,83.0,81.7,76.2,66.2,54.3,46.5,64.3,30
23129,LONG BEACH,CA,56.7,57.6,59.6,62.4,65.6,68.9,73.2,74.3,72.7,67.7,61.4,56.3,64.7,30
23174,LOS ANGELES AP,CA,56.7,57.1,58.0,60.1,62.7,65.5,68.8,69.6,68.9,65.9,61.1,56.6,62.6,30
93134,LOS ANGELES C.O.,CA,58.0,58.9,60.6,63.1,65.8,69.2,73.3,74.3,73.1,68.6,62.4,57.6,65.4,30
24215,MOUNT SHASTA,CA,35.9,38.2,42.3,47.2,54.4,61.5,67.9,66.6,60.5,51.2,40.6,35.1,50.1,30
4222,REDDING,CA,44.9,47.1,51.1,55.5,63.4,71.6,78.8,77.1,72.4,61.9,50.4,43.4,59.8,30
23232,SACRAMENTO,CA,46.3,50.8,54.6,58.7,65.5,71.4,75.2,74.6,71.4,63.9,53.3,46.2,61.0,30
23188,SAN DIEGO,CA,57.1,57.9,59.4,61.7,64.0,66.4,70.0,71.6,70.6,66.7,61.3,56.5,63.6,30
23234,SAN FRANCISCO AP,CA,50.3,52.9,54.9,56.9,59.6,62.2,63.7,64.5,64.7,61.8,55.8,50.6,58.2,30
23272,SAN FRANCISCO C.O.,CA,51.3,53.9,55.1,56.2,57.6,59.6,60.3,61.6,62.7,61.5,56.6,51.6,57.3,30
23190,SANTA BARBARA,CA,52.1,53.7,55.5,57.5,60.1,62.4,65.5,66.0,65.0,61.6,56.3,51.9,59.0,30
23273,SANTA MARIA,CA,51.5,52.8,54.0,55.6,58.0,60.5,63.2,63.7,63.2,60.9,55.8,51.2,57.5,30
23237,STOCKTON,CA,45.8,50.4,54.6,59.3,66.3,72.4,76.7,75.7,72.2,63.8,53.0,45.6,61.3,30
23061,ALAMOSA,CO,16.3,22.8,33.5,41.8,51.2,59.6,64.6,62.7,55.0,43.1,29.5,17.9,41.5,30
93037,COLORADO SPRINGS,CO,30.5,32.1,39.1,46.5,55.9,65.1,70.9,68.7,60.9,49.4,38.1,29.8,48.9,30
3017,DENVER,CO,30.7,32.5,40.4,47.4,57.1,67.4,74.2,72.5,63.4,50.9,38.3,30.0,50.4,30
23066,GRAND JUNCTION,CO,27.4,34.5,43.9,51.7,61.6,72.0,78.2,75.5,66.1,53.0,39.0,28.5,52.6,30
93058,PUEBLO,CO,30.5,33.9,42.3,50.6,60.4,70.0,75.8,73.4,64.7,51.8,39.3,30.1,51.9,30
94702,BRIDGEPORT,CT,30.1,32.4,39.3,49.3,59.1,68.7,74.3,73.3,66.2,54.9,45.5,35.4,52.4,30
14752,HARTFORD,CT,27.1,30.5,38.2,49.6,59.6,68.8,74.1,72.6,64.4,52.4,43.4,32.5,51.1,30
13781,WILMINGTON,DE,32.4,35.1,43.0,53.3,62.8,72.2,76.8,75.2,67.8,56.2,46.6,36.7,54.8,30
93738,WASHINGTON DULLES AP,D.C.,33.2,36.2,44.2,54.4,63.2,72.4,76.7,75.4,67.9,56.0,46.4,36.6,55.2,30
13743,WASHINGTON NAT'L AP,D.C.,36.0,39.0,46.8,56.8,66.0,75.2,79.8,78.1,71.0,59.5,49.6,39.7,58.1,30
12832,APALACHICOLA,FL,52.4,55.3,60.4,66.5,74.3,80.2,82.1,81.7,79.0,70.7,62.0,55.1,68.3,30
12834,DAYTONA BEACH,FL,57.9,60.4,64.3,68.9,75.0,79.9,81.6,81.5,79.5,74.0,66.6,60.5,70.8,30
12835,FORT MYERS,FL,64.2,66.6,69.9,73.8,79.0,82.5,83.2,83.4,82.4,77.9,71.7,66.5,75.1,30
12816,GAINESVILLE,FL,54.3,57.5,62.3,67.6,74.7,79.7,81.2,80.9,78.2,70.9,62.8,56.1,68.9,30
13889,JACKSONVILLE,FL,53.1,56.4,61.7,67.0,74.1,79.9,82.3,81.8,78.2,70.4,62.2,55.2,68.5,30
12850,KEY WEST,FL,69.4,71.3,73.7,76.6,80.4,83.5,84.6,84.6,83.6,80.6,76.1,71.9,78.0,30
12839,MIAMI,FL,68.2,70.2,72.6,75.8,79.9,82.7,84.1,84.2,82.9,79.9,74.9,70.5,77.2,30
12841,ORLANDO,FL,60.2,63.2,67.3,71.9,77.8,81.9,83.7,83.6,81.6,75.9,68.9,63.0,73.3,30
3855,PENSACOLA,FL,51.1,54.3,59.4,65.7,73.7,79.6,81.8,81.6,78.0,69.1,60.7,53.7,67.4,30
93805,TALLAHASSEE,FL,51.2,54.7,60.4,66.1,74.3,80.2,82.0,81.8,78.2,69.4,60.2,53.2,67.6,30
12842,TAMPA,FL,60.8,63.4,67.3,72.0,78.4,82.2,83.0,83.2,81.7,76.2,69.1,63.1,73.4,30
12843,VERO BEACH,FL,62.1,64.3,67.4,70.9,76.2,80.2,81.7,81.7,80.6,76.5,70.2,64.6,73.0,30
12844,WEST PALM BEACH,FL,65.7,67.8,70.5,73.8,78.4,81.4,82.7,83.0,81.8,78.3,72.8,68.1,75.4,30
13873,ATHENS,GA,43.5,47.2,54.3,61.7,70.0,77.5,80.6,79.6,73.3,63.0,53.8,45.4,62.5,30
13874,ATLANTA,GA,43.3,47.2,54.3,62.0,70.1,77.3,80.2,79.4,73.5,63.3,54.0,45.3,62.5,30
13837,AUGUSTA,GA,46.8,50.6,57.6,64.3,72.9,79.4,82.1,80.8,75.6,66.0,57.1,48.9,65.2,30
93842,COLUMBUS,GA,47.2,51.1,57.8,64.6,73.0,79.8,82.5,81.9,76.6,66.5,57.3,49.1,65.6,30
3813,MACON,GA,46.3,50.0,56.8,63.4,71.9,78.9,81.8,80.9,75.0,64.9,55.9,48.0,64.5,30
3822,SAVANNAH,GA,49.5,53.0,59.2,65.6,73.3,79.8,82.6,81.5,76.9,67.9,59.3,51.7,66.7,30
21515,HILO,HI,68.0,67.7,69.0,69.3,70.4,71.6,72.8,73.0,72.8,72.3,71.1,69.8,70.7,30
22521,HONOLULU,HI,73.2,73.1,74.5,76.1,77.8,80.2,81.2,81.9,81.5,80.0,77.6,74.8,77.7,30
22516,KAHULUI,HI,72.0,71.8,72.9,74.0,75.8,78.0,79.1,79.7,79.2,78.2,76.0,73.3,75.8,30
22536,LIHUE,HI,71.7,71.6,72.7,74.0,75.8,78.1,79.1,79.7,79.4,78.1,75.8,73.2,75.8,30
24131,BOISE,ID,31.3,36.5,44.5,50.8,59.1,67.5,75.8,74.7,64.9,52.8,40.0,30.7,52.4,30
24149,LEWISTON,ID,35.6,38.7,45.3,51.3,59.0,66.0,74.4,74.0,64.6,51.8,41.1,33.7,53.0,30
24156,POCATELLO,ID,24.3,28.4,38.0,45.6,53.8,62.1,69.9,68.9,59.0,47.0,34.3,24.5,46.3,30
94846,CHICAGO,IL,23.8,27.7,37.9,48.9,59.1,68.9,74.0,72.4,64.6,52.5,40.3,27.7,49.8,30
14923,MOLINE,IL,22.6,27.0,39.1,51.4,61.8,71.5,75.4,73.5,65.4,53.2,40.0,26.6,50.6,30
14842,PEORIA,IL,24.9,29.5,40.6,52.3,62.4,71.8,75.5,73.8,66.1,54.0,41.6,28.6,51.8,30
94822,ROCKFORD,IL,21.5,25.9,37.2,49.4,60.1,69.8,73.8,71.9,63.9,51.7,38.9,25.4,49.1,30
93822,SPRINGFIELD,IL,26.7,31.2,42.1,53.5,63.7,72.5,75.8,74.2,66.8,55.1,43.1,30.4,52.9,30
93817,EVANSVILLE,IN,32.5,36.6,46.0,56.1,65.7,74.8,78.0,76.7,69.1,57.6,46.4,35.6,56.3,30
14827,FORT WAYNE,IN,24.9,28.3,38.4,50.0,60.4,70.1,73.6,71.5,64.3,52.6,41.4,29.1,50.4,30
53842,INDIANAPOLIS,IN,28.1,32.0,42.4,53.1,62.8,72.3,75.2,74.1,67.1,54.8,44.0,31.7,53.1,30
14848,SOUTH BEND,IN,24.4,27.8,37.5,49.0,59.3,69.1,73.0,71.3,63.9,52.1,40.7,28.8,49.7,30
54902,DES MOINES,IA,20.7,25.3,37.5,49.7,60.6,69.7,74.1,72.0,63.6,51.5,37.5,24.6,48.9,30
94908,DUBUQUE,IA,19.0,23.7,35.4,48.2,58.8,68.3,72.0,70.0,62.0,50.0,36.7,22.8,47.2,30
14943,SIOUX CITY,IA,20.4,25.1,36.5,49.6,60.8,70.3,74.3,72.1,63.4,50.7,35.8,22.6,48.5,30
94910,WATERLOO,IA,18.5,23.4,35.8,48.9,60.5,70.0,73.6,71.2,63.0,50.3,36.3,22.2,47.8,30
13984,CONCORDIA,KS,28.6,32.7,43.0,53.1,63.1,73.4,79.1,77.1,68.0,55.4,41.6,30.0,53.8,30
13985,DODGE CITY,KS,32.2,35.9,44.4,53.9,64.2,73.9,79.6,78.1,69.2,56.6,43.1,32.8,55.3,30
23065,GOODLAND,KS,29.6,32.3,40.5,49.2,59.4,69.7,75.7,73.7,64.6,51.9,39.0,29.9,51.3,30
13996,TOPEKA,KS,29.7,34.4,44.8,55.1,65.0,74.2,79.0,77.4,68.3,56.6,43.8,32.0,55.0,30
3974,WICHITA,KS,32.2,36.8,46.1,56.1,65.2,75.0,80.2,79.3,70.4,58.2,45.1,33.9,56.5,30
93812,GREATER CINCINNATI AP,OH,31.2,34.8,43.6,54.0,63.2,71.8,75.7,74.5,67.1,55.5,44.9,34.6,54.2,30
3889,JACKSON,KY,34.9,38.8,47.4,57.4,64.6,72.0,75.4,74.5,68.1,58.1,48.4,38.1,56.5,30
93820,LEXINGTON,KY,32.9,36.9,45.5,55.3,64.2,72.7,76.2,75.3,68.1,57.0,46.3,36.0,55.5,30
13810,LOUISVILLE,KY,34.5,38.1,47.0,57.1,66.3,75.1,77.8,77.5,69.6,58.2,47.5,37.2,57.2,30
3816,PADUCAH,KY,34.6,39.2,48.3,58.0,67.2,75.6,78.9,77.5,69.9,58.8,48.1,37.5,57.8,30
13970,BATON ROUGE,LA,51.7,55.1,61.5,68.1,75.7,81.1,83.0,82.9,78.6,69.3,60.4,53.4,68.4,30
3937,LAKE CHARLES,LA,51.8,55.0,61.4,68.1,75.6,81.0,82.9,83.0,78.6,70.1,61.1,53.8,68.5,30
12916,NEW ORLEANS,LA,53.4,56.7,62.6,69.1,76.7,81.5,83.3,83.3,79.7,71.3,62.7,55.6,69.7,30
53905,SHREVEPORT,LA,46.4,50.3,57.4,64.7,73.4,80.0,83.0,83.2,76.3,66.0,56.3,47.9,65.4,30
14607,CARIBOU,ME,10.2,14.1,24.5,38.6,51.5,60.7,65.6,63.6,55.0,43.3,31.5,18.2,39.7,30
14764,PORTLAND,ME,22.3,25.5,33.5,44.0,53.9,63.4,69.1,68.0,60.1,48.8,39.4,28.8,46.4,30
93721,BALTIMORE,MD,32.9,35.8,43.6,53.7,62.9,72.4,77.0,75.1,67.8,56.1,46.5,36.7,55.0,30
14753,BLUE HILL,MA,25.5,27.9,35.5,46.7,57.1,66.1,71.9,70.5,63.1,51.6,41.7,31.3,49.1,30
14739,BOSTON,MA,29.0,31.7,38.3,48.1,57.9,67.7,73.4,72.1,64.9,54.0,44.7,34.7,51.4,30
94746,WORCESTER,MA,24.1,27.0,34.7,46.0,56.3,65.0,70.2,68.8,61.2,50.0,40.3,29.4,47.8,30
94849,ALPENA,MI,19.1,20.3,28.7,41.6,52.5,62.1,67.4,65.4,57.7,46.2,35.7,25.0,43.5,30
14822,DETROIT,MI,25.8,28.2,36.6,48.5,59.4,69.3,73.9,72.2,64.6,52.5,41.6,30.3,50.2,30
14826,FLINT,MI,22.4,24.8,34.1,46.4,56.9,66.5,70.5,68.8,61.1,49.5,38.9,27.4,47.3,30
94860,GRAND RAPIDS,MI,24.4,26.8,35.6,48.0,58.7,68.4,72.5,70.8,62.8,51.0,40.1,29.2,49.0,30
94814,HOUGHTON LAKE,MI,18.1,20.0,29.1,42.6,53.9,62.9,67.1,65.0,57.2,45.8,34.9,23.9,43.4,30
14836,LANSING,MI,23.4,25.9,35.1,47.4,57.7,67.6,71.5,69.8,61.9,50.3,39.6,28.3,48.2,30
14838,MARQUETTE,MI,18.8,20.7,29.0,40.1,51.0,59.9,66.6,66.6,59.4,47.3,34.8,23.5,43.1,30
14840,MUSKEGON,MI,25.4,27.1,35.0,46.6,56.9,66.3,71.1,69.9,62.1,50.7,40.2,30.2,48.5,30
14847,SAULT STE. MARIE,MI,15.3,17.6,26.3,40.2,51.8,60.0,65.3,64.6,57.1,45.6,34.1,22.2,41.7,30
14913,DULUTH,MN,10.2,15.1,25.9,39.6,51.4,60.1,65.8,64.3,55.6,43.2,28.8,14.8,39.6,30
14918,INTERNATIONAL FALLS,MN,4.4,10.3,23.6,39.3,51.8,60.8,65.2,63.3,53.6,41.1,25.5,9.7,37.4,30
14922,MINNEAPOLIS-ST.PAUL,MN,15.6,20.8,32.8,47.5,59.1,68.8,73.8,71.2,62.0,48.9,33.7,19.7,46.2,30
14925,ROCHESTER,MN,15.7,20.3,32.4,46.7,58.1,67.6,71.4,69.1,60.9,48.4,33.8,19.7,45.3,30
14926,SAINT CLOUD,MN,11.6,17.0,29.4,44.5,56.5,65.6,70.3,67.8,58.6,45.7,30.4,15.9,42.8,30
13927,JACKSON,MS,46.6,50.6,57.6,64.9,72.9,79.3,81.9,81.7,76.3,66.2,56.3,48.7,65.3,30
13865,MERIDIAN,MS,44.8,48.7,55.6,62.7,70.8,77.6,80.6,80.3,74.8,64.1,54.7,47.2,63.5,30
93862,TUPELO,MS,41.7,45.9,54.0,62.1,70.7,78.1,81.4,80.8,74.1,63.0,52.9,44.1,62.4,30
3945,COLUMBIA,MO,29.7,34.4,44.6,55.0,64.0,72.9,77.3,76.2,67.6,56.0,44.4,32.4,54.5,30
13988,KANSAS CITY,MO,31.0,35.5,46.0,56.6,66.5,75.8,81.0,79.4,70.2,58.3,45.4,33.7,56.6,30
13994,ST. LOUIS,MO,31.8,36.3,46.3,57.3,66.8,75.9,80.0,78.6,70.4,58.7,46.8,34.7,57.0,30
13995,SPRINGFIELD,MO,32.6,37.2,46.3,55.8,64.8,73.4,78.2,77.8,69.0,57.8,46.1,35.0,56.2,30
24033,BILLINGS,MT,27.1,30.4,37.7,46.2,55.6,64.7,72.8,71.5,60.3,48.2,35.8,26.5,48.1,30
94008,GLASGOW,MT,13.8,19.2,31.7,44.9,55.1,64.0,71.1,70.2,58.2,44.7,29.3,16.3,43.2,30
24143,GREAT FALLS,MT,25.2,27.3,34.2,43.1,51.7,59.7,67.4,66.3,56.1,45.2,33.4,24.8,44.5,30
